Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
28-11-2024		6-6-2024	18:45	19:15	Wijk aan zee	7,5		Webcam	Fish of funboard	Best wel											Pim stuurde 07-06-2024 naar zichzelf: Gisteren om 16:30: Wijk ziet er ook wel leuk uit. Zonnetje, alles Zitten wel wat hoge golven tussen. Lijkt best clean. Veel mensen met longboards. 7.5 voor longboards, fish en shortboard.
28-11-2024		6-6-2024	18:45	19:15	Wijk aan zee	7,5		Webcam	Shortboard	Best wel											Pim stuurde 07-06-2024 naar zichzelf: Gisteren om 16:30: Wijk ziet er ook wel leuk uit. Zonnetje, alles Zitten wel wat hoge golven tussen. Lijkt best clean. Veel mensen met longboards. 7.5 voor longboards, fish en shortboard.
28-11-2024		6-6-2024	18:45	19:15	Zandvoort	7,5		Eyeball	Longboard	Best wel								Borsthoog			Maite stuurde 06-06-2024 in de surfchat om 16:07: mooi aflandig windje, tepel hoog, ziet er best leuk uit
28-11-2024		6-6-2024	18:45	19:15	Zandvoort	7		Eyeball	Fish of funboard	Best wel								Borsthoog			Maite stuurde 06-06-2024 in de surfchat om 16:07: mooi aflandig windje, tepel hoog, ziet er best leuk uit
28-11-2024		6-6-2024	18:45	19:15	Zandvoort	6,5		Eyeball	Shortboard	Best wel								Borsthoog			Maite stuurde 06-06-2024 in de surfchat om 16:07: mooi aflandig windje, tepel hoog, ziet er best leuk uit
28-11-2024		7-6-2024	20:45	21:15	Wijk aan zee	4		Webcam	Longboard	Helemaal niet								Heup hoog			Pim stuurde 07-06-2024 naar zichzelf: 21:00 vandaag, 4 long, 3,5 fish en 2,5 short. Winderig en licht choppy. Heup hoog
28-11-2024		7-6-2024	20:45	21:15	Wijk aan zee	3,5		Webcam	Fish of funboard	Helemaal niet								Heup hoog			Pim stuurde 07-06-2024 naar zichzelf: 21:00 vandaag, 4 long, 3,5 fish en 2,5 short. Winderig en licht choppy. Heup hoog
28-11-2024		7-6-2024	20:45	21:15	Wijk aan zee	2,5		Webcam	Shortboard	Helemaal niet								Heup hoog			Pim stuurde 07-06-2024 naar zichzelf: 21:00 vandaag, 4 long, 3,5 fish en 2,5 short. Winderig en licht choppy. Heup hoog
28-11-2024		9-6-2024	18:45	19:15	Wijk aan zee	8		Nat pak	Shortboard						Heel erg			Overhead			Pim stuurde 09-06-2024 naar zichzelf: 19:00 bij wijk. Overhead golven. Leuk voor short en fish 8. Minder leuk voor longboard door stijle golven  6. Best wel crowded. Nat pak
28-11-2024		9-6-2024	18:45	19:15	Wijk aan zee	8		Nat pak	Fish						Heel erg			Overhead			Pim stuurde 09-06-2024 naar zichzelf: 19:00 bij wijk. Overhead golven. Leuk voor short en fish 8. Minder leuk voor longboard door stijle golven  6. Best wel crowded. Nat pak
